"x1","x2","name"
361129.403896867,205759.186407863,"JPO 1"
373470.081215898,191509.046355615,"CPS HZSOL"
95973.6830000342,895046.803472598,"Gentofte Brandstation"
-33489.4652512178,90284.1529680612,NA
377244.105009018,207981.035541053,NA
-20535.6753991566,-16776.8281518035,"Freiwillige Feuerwehr Kirchbichl"
-21355.5462545652,-17047.7507542036,NA
131118.045754572,517830.127182322,"Freiwillige Feuerwehr Bohnsdorf"
-32819.0505634573,85287.7623895481,"FFW Marzling"
-27358.1755773223,91029.63692718,"fixme Feuerwehr"
-35690.1138354539,52581.0969015621,NA
114712.941320549,490174.249858052,NA
-26305.0243041555,87124.6828043209,NA
378425.758241948,60432.8103596205,"DHZ Častá"
124246.145733277,24609.7666075062,"Feuerwehr Eggenstein"
115020.203261117,504699.780530974,"Freiwillige Feuerwehr Groß Schulzendorf"
461114.683437946,1087719.16095854,NA
292237.983248956,6049.8656609226,"FF Matzendorf"
291049.421549056,3855.55937311798,NA
22793.2739578925,197155.826991203,NA
168309.440055706,65152.8500939468,"FF Hagenberg"
175348.665943851,70467.0299310097,"FF Gutau"
304611.539466116,54920.2601122046,"Feuerwehr Bisamberg"
29906.5429167568,286212.56697529,NA
8854.05738690472,394006.536854487,"Feuerwache Weißenfels"
82044.5246142266,373286.522368909,"Freiwillige Feuerwehr Waldheim"
297606.561851831,22515.5741890166,"FF Gumpoldskirchen"
548408.778892979,52025.9377646614,"Hasičská stanica"
128177.176110466,544431.136004292,"Freiwillige Feuerwehr Buch (2710)"
114640.000142785,528685.109108642,"Berufsfeuerwache Wilmersdorf (3400)"
502034.769309991,-24451.7708925102,"Pomázi Tűzoltóság"
-7538.92453636235,157248.585186088,"FFW Hainsacker"
41416.5129715079,337735.879391089,"Freiwillige Feuerwehr"
43471.2421976525,338153.397241523,"FF Auerbach"
44993.0259450088,336600.552100113,NA
42349.6693613786,334791.707975652,NA
40362.1504593457,332459.117244233,"Feuerwehr Cainsdorf"
39148.0338229144,334162.111863052,NA
39468.2157512467,340995.470628989,NA
40158.6062552307,342428.660147559,NA
40238.623507433,344107.946910309,NA
43663.6543832915,340496.904335564,NA
41985.6256822817,345090.43197818,NA
39942.9410645462,352432.812680735,NA
145124.038815764,405522.049541867,NA
145087.205050351,401637.87446037,NA
7213.07235578552,320777.977449389,NA
513371.441678576,78770.3394559482,"Hasičská stanica"
524394.424248824,40933.2961253244,NA
561257.240456813,44892.3183557149,"Hasičská stanica"
308027.912836888,55013.1943139872,NA
-908.990000872524,185292.438226544,"FF Schwandorf-Feuerwache"
370985.130975002,48847.6596701602,NA
306238.111182077,58968.1126648122,"Feuerwehr Stetten"
22307.1102322536,192683.271956862,"Freiwillige Feuerwehr Dieterskirchen"
27602.1551056675,403886.945282087,NA
52486.6627992716,40532.1099389726,NA
598999.226043303,457989.930784827,NA
17389.7178515178,235594.003216717,NA
291459.251327048,139298.864422996,NA
132337.193451068,368729.376716952,"Feuerwache 1 Neustadt"
-34168.7132947372,59045.0579784578,"FFW Poing"
9879.02819709876,425008.987552419,"Berufsfeuerwehr Halle Hauptwache"
12637.6992081741,423262.671987596,NA
311890.370648535,71703.0589693915,NA
-24586.7758455002,65817.0231292592,"Feuerwehr"
293212.259746041,54238.0780297564,"Freiwillige Feuerwehr St. Andrä-Wördern"
139232.149300476,355651.689264749,NA
19120.2404484776,402139.815331746,NA
102187.143899257,399006.199927276,"Feuerwehr Riesa Hauptstelle"
-7083.6653610224,43766.9345914153,"FFW Wasserburg-Reitmehring"
123242.809115751,530744.355496091,"Berufsfeuerwache Friedrichshain (1200) Freiwillige Feuerwehr Friedrichshain"
139546.407303475,513542.893394838,NA
155537.696078804,365213.752450312,NA
148468.811599847,510835.613266755,"Freiwillige Feuerwehr Hartmannsdorf"
178553.478289772,508289.852123803,"Freiwillige Feuerwehr"
177055.805272862,250755.931686421,"Generální ředitelství HZS"
1010303.75793289,922208.465728235,"VUGD LRB Krāslavas daļa"
1057.65962334489,36152.8845983176,"Feuerwehrhaus"
343457.102161709,5248.66374139767,"Freiwillige Feuerwehr Gols"
357689.878589321,502424.59265481,"Państwowa Straż Pożarna"
439096.33959255,11575.1830892293,NA
359821.96608561,33098.513142501,NA
46378.1916040551,341099.971429513,NA
308013.700975826,79282.3845153749,NA
50931.4078656418,343805.728871837,"FFW St. Egidien"
125546.218980278,996264.418832992,NA
107663.801429694,535656.928430759,"Berufsfeuerwache Spandau-Nord (3100)"
-3058.69042063155,293135.929086221,"Löschgruppe Moschendorf der Freiwilligen Feuerwehr Hof"
25686.001741286,384040.79090004,NA
15362.6956689124,315537.417514514,NA
6441.88110608247,319286.801036033,NA
76981.0836265094,103761.817703965,NA
134402.923405937,373572.066299657,"Freiwillige Feuerwehr Klotzsche"
143379.492643408,518120.771620871,"Freiwillige Feuerwehr Erkner"
140157.237946606,505216.578957839,NA
138450.85713771,505660.768112297,NA
136656.472439136,504511.935497239,"Freiwillige Feuerwehr Senzig"
147819.778781923,501608.200578947,NA
152615.686770215,489746.526672061,NA
133232.878096778,532001.993142492,"Freiwillige Feuerwehr Hellersdorf (6230)"
148278.534191451,518472.681871127,NA
152354.158911798,514877.269355817,"Freiwillige Feuerwehr Mönchwinkel"
130842.821522109,548747.17320372,"Freiwilligen Feuerwehr Schönow"
209202.929865387,388696.603783949,NA
88706.94537545,885182.104280839,"FALCK Hvidovre"
125022.235581024,-22295.14665215,"Freiwillige Feuerwehr Tauplitz"
119544.772516392,544841.728519655,NA
92861.1384516867,374530.228634132,"FFW Hasslau"
18295.4830731896,461835.444254099,NA
-7277.60721032409,68222.4177211896,"Freiwillige Feuerwehr Dorfen"
-11138.3489502559,68938.0470506176,"Freiwillige Feuerwehr Zeilhofen"
-12621.2222361976,67614.9140236806,"Freiwillige Feuerwehr Esterndorf"
18824.3682391163,234674.7596882,NA
46734.7976238658,338589.577731828,"FF Mülsen"
151164.365820505,443215.126750713,"Feuerwehr Calau"
-29543.1566005995,131369.927763991,"Freiwillige Feuerwehr Bad Gögging"
117289.16148356,507667.854487753,"Freiwillige Feuerwehr Jühnsdorf"
7260.66205095151,157051.845129634,"Freiwillige Feuerwehr Kreuth"
125006.132586746,338508.538989317,"Feuerwehr Kurort Bärenfels"
-37478.2869533563,40807.1100909775,"Feuerwehr Egmating"
4773.68475223926,16123.0599245857,NA
149026.700740332,531464.826728804,"Freiwillige Feuerwehr Eggersdorf"
74878.4705037297,99893.7636370566,"Freiwillige Feuerwehr Windorf"
72786.2697198403,477592.765679827,"Freiwillige Feuerwehr Marzahna"
259607.942853838,23273.6262879325,"Feuerwehr Hainfeld"
79790.7052799486,105219.842492678,NA
21887.9271456266,27376.8122726008,"FFW Matzing"
119849.197040224,360505.894059263,"FFW Tharandt"
15637.3708523023,253571.338920171,"Freiwillige Feuerwehr"
250423.727106329,42910.374833364,"FF St. Pölten-Wagram"
14385.9985425845,111896.372447294,NA
141040.396997602,521005.88727757,"Freiwillige Feuerwehr Wilhelmshagen"
167981.004576561,462996.593799408,"Freiwillige Feuerwehr Butzen"
165567.912390336,464165.699720224,"Freiwillige Feuerwehr Laasow"
261623.720025237,58807.2796483776,NA
256122.564426359,108782.715688685,"Freiwillige Feuerwehr Geras"
80381.5880624627,373978.661883246,NA
454332.343216038,84813.6831849376,NA
313064.04315485,60441.2676841132,"Freiwillige Feuerwehr Münichsthal"
311038.635704465,59113.4591717757,"Freiwillige Feuerwehr Putzing"
24813.4911446996,409774.713660386,"Freiwillige Feuerwehr Kötschlitz"
349371.229595753,198675.117276141,"SDH Hvozd"
-13388.3085723649,12544.2152825911,"FFW  Neubeuern"
1181054.5446763,640175.729188662,"Пожарная Часть"
21314.2598729639,355105.135760652,"FF Ronneburg"
78549.1407813916,110476.642419051,NA
-18726.8397358609,83476.7447808124,"Freiwillige Feuerwehr Wartenberg"
-23182.102308584,81875.7337165903,"FFW Berglern"
162325.909635528,55155.7510916516,NA
76433.1033568704,79616.4695740398,"FF Tettenweis"
160374.825291633,56541.0529529173,"FF Pürach"
85294.0918054675,484947.329072044,NA
85650.6366170851,484882.094281135,NA
37996.5714131038,460981.625580315,NA
125788.513713841,557578.978420894,NA
-11382.6958583732,39908.1294394359,"FFW Ramerberg"
653227.14395255,301697.017150738,"Komenda Powiatowa Państwowej Straży Pożarnej w Staszowie"
13983.1697006873,404006.926540016,NA
36637.9276225478,448484.801215895,NA
258777.410076609,57214.4304161668,"Freiwillige Feuerwehr Waldlesberg"
13943.1041864324,400291.793867348,NA
-6080.39457505685,95947.4500833843,"FFW Landshut (LZ 3 - Achdorf)"
14677.2417723355,191768.254935183,"FFW Zangenstein"
-31270.6979552895,57073.1261021066,"FFW Anzing"
-8292.83412487962,98903.9252536641,"Feuerwehr Altdorf"
1308.71215662523,150833.878300796,"Freiwillige Feuerwehr Tegernheim"
38457.0840028358,449884.008620648,NA
79474.2613712998,505358.147091333,NA
156653.947548165,398863.776715643,"Freiwillige Feuerwehr Straßgräbchen"
310610.94393124,62060.3759903256,"Freiwillige Feuerwehr Pfösing"
21114.0965315141,187215.341360813,"FFW Kröblitz"
367874.965775689,85907.7973430799,NA
51482.4380995212,80283.1189302346,"Freiwillige Feuerwehr Pfarrkirchen"
139482.790850184,393817.613301298,"Freiwillige Feuerwehr Röhrsdorf"
137068.608621061,62575.8244239436,NA
-15090.5128671851,146978.018207902,"FFW Viehhausen"
17601.5836800397,380098.018953014,NA
32340.3611038235,437752.746733241,"Freiwillige Feuerwehr Ramsin"
34338.8948269172,437545.690994184,"Freiwillige Feuerwehr Zscherndorf"
194412.946913415,37306.0460043242,"FF Preinsbach"
656703.022906785,488870.883689756,NA
43272.4224545718,186779.630459521,NA
256828.717070334,59828.6221980294,"Freiwillige Feuerwehr Wagram"
7947.48745002074,507955.023646783,NA
278996.264394955,475823.094157859,"Ochotnicza Straż Pożarna w Starym Kramsku"
143598.225786717,601305.118115368,NA
96696.1001596114,584073.390577892,"Feuerwehr"
394525.803395453,33586.8013342377,NA
80652.3005733742,463649.153193884,"Freiwillige Feuerwehr Seyda"
80159.9603542154,464828.620028271,"Freiwillige Feuerwehr"
81441.8804807955,466368.117651405,"Freiwillige Feuerwehr"
83486.2822635109,465987.844328367,"Freiwillige Feuerwehr Morxdorf"
131553.756325223,382539.046649066,"FFW Berbisdorf"
1064538.36896725,708677.405863595,NA
167357.688299731,63177.9365818333,NA
313548.280850877,65884.742489364,"Freiwillige Feuerwehr Unterolberndorf"
83427.2333890856,140076.530323291,"Freiwillige Feuerwehr Frauenau"
326330.903728796,82416.4210596187,NA
84728.4599860687,494568.80532357,NA
-12040.7968207297,140602.921109639,"FFW Lengfeld"
200543.822040136,350879.967972559,NA
8801.17957356072,363417.867725709,"Freiwillige Feuerwehr Bad Köstritz"
18438.0986497821,498491.985829116,NA
554668.714233544,609350.206130593,NA
142291.115684129,356867.60817226,"Feuerwehr Pratzschwitz"
31015.3659325292,452469.092322462,NA
27291.7853330368,450756.404657185,"FFW Hinsdorf"
22723.9490097389,456245.982535082,NA
23787.3560145897,458254.035424006,NA
24999.8861093774,456531.501162961,NA
103175.021603473,397070.359228525,"Stadtteilfeuerwehr Riesa-Stadt"
101814.336063124,399535.117761968,"Stadtteilfeuerwehr Riesa-Gröba"
100345.57308808,397041.430241275,"Stadtteilfeuerwehr Riesa-Weida"
102027.568643699,394522.679003216,"Stadtteilfeuerwehr Riesa-Nickritz"
105357.325994631,392928.657237738,"Freiwillige Feuerwehr Heyda"
564675.117551383,607056.154002463,"Ochotnicza Straż Pożarna"
131698.087772242,379354.317926324,"FFW Bärnsdorf"
560580.95731555,568120.271224732,"Ochotnicza Straż Pożarna"
150536.60552612,976521.091891798,"Brandförsvaret"
156531.933509231,699637.101764949,"Freiwillige Feuerwehr Wolgast"
24964.3174927017,254248.182966694,NA
21.3123066537664,14974.4356770655,NA
90494.5192261373,348772.6198337,"Freiwillige Feuerwehr Oederan"
96008.0833090715,-11470.7358576581,"FF Bad Goisern"
72259.6301590827,704752.031431247,"Freiwillige Feuerwehr Tessin"
653052.240981812,473425.074851677,"KP PSP OTWOCK"
195377.396559178,355609.938828097,"Freiwillige Feuerwehr Eibau"
155177.161221369,78549.8007413214,"FF Habruck"
85622.3872991146,1121215.42696515,"Kortedala Brandstation"
91123.7679045385,472076.054526938,"Feuerwehr Gemeinde Rohrbeck"
134109.604271936,506731.855514723,"Feuerwehr Königs Wusterhausen"
124180.918560736,521977.232745295,"Berufsfeuerwache Buckow"
286727.726848614,73440.0433911299,"Freiwillige Feuerwehr Göllersdorf"
233815.131159621,46101.2100577913,NA
